timestamp,icao,temperature,dewpoint,wind_speed,visibility,is_fog,is_mist,raw_metar,dewpoint_depression,hour,month,day_of_week,humidity,is_disrupted
2024-06-05 00:00:00,LRIA,16,16,3.0,10000,0,0,LRIA 050000Z 29003KT CAVOK 16/16 Q1011,0,0,6,2,100.0,0
2024-06-05 00:30:00,LRIA,16,16,3.0,10000,0,0,LRIA 050030Z 27003KT CAVOK 16/16 Q1011,0,0,6,2,100.0,0
2024-06-05 01:00:00,LRIA,16,16,1.0,10000,0,0,LRIA 050100Z 27001KT CAVOK 16/16 Q1011,0,1,6,2,100.0,0
2024-06-05 01:30:00,LRIA,16,16,2.0,9999,0,0,LRIA 050130Z 30002KT 9999 MIFG NSC 16/16 Q1011,0,1,6,2,100.0,0
2024-06-05 02:00:00,LRIA,16,16,2.0,9999,0,0,LRIA 050200Z 25002KT 9999 MIFG NSC 16/16 Q1011,0,2,6,2,100.0,0
2024-06-05 02:30:00,LRIA,15,15,2.0,9999,0,0,LRIA 050230Z 28002KT 9999 MIFG NSC 15/15 Q1011,0,2,6,2,100.0,0
2024-06-05 03:00:00,LRIA,15,15,2.0,9999,0,0,LRIA 050300Z 21002KT 9999 MIFG NSC 15/15 Q1011,0,3,6,2,100.0,0
2024-06-05 03:30:00,LRIA,16,16,3.0,10000,0,0,LRIA 050330Z 24003KT 210V280 CAVOK 16/16 Q1011,0,3,6,2,100.0,0
2024-06-05 04:00:00,LRIA,17,17,3.0,10000,0,0,LRIA 050400Z 28003KT CAVOK 17/17 Q1012,0,4,6,2,100.0,0
2024-06-05 04:30:00,LRIA,18,17,4.0,10000,0,0,LRIA 050430Z 26004KT CAVOK 18/17 Q1012,1,4,6,2,93.88,0
2024-06-05 05:00:00,LRIA,19,17,3.0,10000,0,0,LRIA 050500Z 28003KT 250V310 CAVOK 19/17 Q1012,2,5,6,2,88.19,0
2024-06-05 05:30:00,LRIA,20,17,7.0,10000,0,0,LRIA 050530Z 30007KT CAVOK 20/17 Q1012,3,5,6,2,82.87,0
2024-06-05 06:00:00,LRIA,21,17,7.0,10000,0,0,LRIA 050600Z 31007KT 280V340 CAVOK 21/17 Q1012,4,6,6,2,77.92,0
2024-06-05 06:30:00,LRIA,21,16,9.0,10000,0,0,LRIA 050630Z 30009KT CAVOK 21/16 Q1012,5,6,6,2,73.11,0
2024-06-05 07:00:00,LRIA,22,16,8.0,10000,0,0,LRIA 050700Z 31008KT 280V340 CAVOK 22/16 Q1012,6,7,6,2,68.77,0
2024-06-05 07:30:00,LRIA,23,16,8.0,10000,0,0,LRIA 050730Z 32008KT 290V010 CAVOK 23/16 Q1013,7,7,6,2,64.72,0
2024-06-05 08:00:00,LRIA,23,14,10.0,9999,0,0,LRIA 050800Z 32010KT 290V350 9999 FEW034 23/14 Q1013,9,8,6,2,56.91,0
2024-06-05 08:30:00,LRIA,24,14,7.0,9999,0,0,LRIA 050830Z 33007KT 310V010 9999 FEW039 24/14 Q1013,10,8,6,2,53.58,0
2024-06-05 09:00:00,LRIA,24,15,5.0,9999,0,0,LRIA 050900Z 34005KT 290V030 9999 FEW040 24/15 Q1012,9,9,6,2,57.15,0
2024-06-05 09:30:00,LRIA,23,14,6.0,9999,0,0,LRIA 050930Z 32006KT 290V010 9999 SCT040 23/14 Q1012,9,9,6,2,56.91,0
