date,flight,airline,route,scheduled_UTC,fog_onset_UTC,aerly_alert_UTC,lead_time_hours,prob_at_alert,prob_at_sched,visibility_at_alert_m
2024-12-19,W63651,Wizz Air,IAS-LTN,06:15,05:30,03:00,3.2,98.39,97.63,10000
2024-12-19,W63681,Wizz Air,IAS-BVA,06:00,05:30,03:00,3.0,98.39,97.63,10000
2024-12-20,RO701,TAROM,OTP-IAS,07:30,00:00,04:00,3.5,85.07,97.76,100
2024-12-20,W63672,Wizz Air,BLQ-IAS,08:45,00:00,04:00,4.8,85.07,96.99,100
2024-12-20,W63652,Wizz Air,LTN-IAS,12:30,00:00,04:00,8.5,85.07,97.62,100
2024-12-20,FR...1,Ryanair,BVA-IAS,10:00,00:00,04:00,6.0,85.07,94.71,100
2024-12-20,FR...2,Ryanair,BGY-IAS,11:30,00:00,04:00,7.5,85.07,95.43,100
2024-12-20,FR...3,Ryanair,CRL-IAS,14:00,00:00,04:00,10.0,85.07,97.88,100
2024-12-30,W63651,Wizz Air,IAS-LTN,06:15,03:30,18:30,11.8,97.96,91.12,9999
2024-12-30,W63671,Wizz Air,IAS-BLQ,06:30,03:30,18:30,12.0,97.96,91.12,9999
2024-12-30,RO702,TAROM,IAS-OTP,09:15,03:30,04:00,5.2,95.07,97.87,700
2024-12-30,W63612,Wizz Air,DTM-IAS,15:00,03:30,04:00,11.0,95.07,8.42,700
2024-12-30,W63606,Wizz Air,MUC-IAS,16:30,03:30,05:00,11.5,97.05,98.06,1500
2025-01-01,W63681,Wizz Air,IAS-BVA,05:50,00:00,03:00,2.8,99.35,98.69,100
2025-01-01,W63675,Wizz Air,IAS-BGY,06:00,00:00,03:00,3.0,99.35,98.69,100
2025-01-01,W63692,Wizz Air,MAD-IAS,13:00,00:00,03:00,10.0,99.35,98.42,100
2025-01-01,W63678,Wizz Air,TRN-IAS,14:30,00:00,03:00,11.5,99.35,98.75,100
2025-11-10,RO701,TAROM,OTP-IAS,07:30,00:00,06:30,1.0,91.89,86.28,100
2025-11-10,RO702,TAROM,IAS-OTP,09:15,00:00,06:30,2.8,91.89,0.34,100
2025-11-10,W63652,Wizz Air,WAW-IAS,12:30,00:00,06:30,6.0,91.89,99.29,100
2025-11-10,W63672,Wizz Air,BLQ-IAS,08:15,00:00,06:30,1.8,91.89,97.64,100
2025-11-21,RO701,TAROM,OTP-IAS,07:30,00:00,04:00,3.5,93.91,99.11,450
2025-11-21,RO702,TAROM,IAS-OTP,09:15,00:00,04:00,5.2,93.91,98.29,450
2025-12-19,W63674,Wizz Air,VCE-IAS,18:00,06:30,06:00,12.0,97.27,98.54,3000
2025-12-19,W63608,Wizz Air,BSL-IAS,19:30,06:30,07:30,12.0,88.77,98.84,1000
2025-12-20,W63672,Wizz Air,BLQ-IAS,08:15,00:00,20:30,11.8,98.84,5.07,150
2025-12-20,RO701,TAROM,OTP-IAS,07:30,00:00,19:30,12.0,98.84,9.64,100
2025-12-20,W63651,Wizz Air,IAS-EIN,06:15,00:00,18:30,11.8,97.96,97.25,100
2026-01-06,RO701,TAROM,OTP-IAS,07:30,01:30,04:00,3.5,67.12,97.3,350
2026-01-06,RO702,TAROM,IAS-OTP,09:15,01:30,04:00,5.2,67.12,98.01,350
2026-01-06,W63698,Wizz Air,LCA-IAS,11:00,01:30,04:00,7.0,67.12,98.33,350
2026-01-06,W63676,Wizz Air,BGY-IAS,13:30,01:30,04:00,9.5,67.12,98.36,350
2026-01-21,RO701,TAROM,OTP-IAS,07:30,03:30,04:00,3.5,61.3,99.38,150
2026-01-21,RO702,TAROM,IAS-OTP,09:15,03:30,04:00,5.2,61.3,99.47,150
2026-01-21,W63682,Wizz Air,BVA-IAS,12:00,03:30,04:00,8.0,61.3,99.5,150
2026-01-21,W63610,Wizz Air,CRL-IAS,14:15,03:30,04:00,10.2,61.3,99.52,150
